epigrafe_code,epigrafe_desc,web_supercategory,web_category,web_subcategory,display_label,investable,mapping_rule,source_rows,needs_manual_review
960202,INSTITUTO DE BELLEZA,Belleza y cuidado personal,Peluqueria y estetica,Instituto de belleza,Instituto de belleza,True,exact_code,59553,False
960201,SERVICIO DE PELUQUERIA,Belleza y cuidado personal,Peluqueria y estetica,Peluqueria,Peluqueria,True,exact_code,670144,False
960204,INSTITUTOS O CENTROS CAPILARES,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,1879,False
960301,POMPAS FUNEBRES Y ACTIVIDADES RELACIONADAS,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,4608,False
960401,BALNEARIOS Y SPA URBANOS,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,9593,False
960402,DESPACHO DE DIESTISTAS,Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,235,False
960403,"SAUNAS, BAÑOS TURCOS Y SIMILARES",Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,2831,False
960902,TRATAMIENTO HIGIENICO DE ANIMALES (PELUQUERIAS),Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,30044,False
960903,"ADIESTRAMIENTO, CUIDADO DE ANIMALES, RESIDENCIAS CANINAS Y CENTROS DE ANIMALES ABANDONADOS",Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,3888,False
960904,"OTRAS SERVICIOS PERSONALES (ASTROLOGIA, AGENCIAS DE CONTACTOS) N.C.O.P.",Belleza y cuidado personal,Servicios personales,Belleza y cuidado personal,Belleza y cuidado personal,True,prefix_96,6862,False
960901,CENTROS DE TATUAJE Y/O ANILLADO,Belleza y cuidado personal,Servicios personales,Tattoo y piercing,Tattoo y piercing,True,exact_code,35902,False
931009,ACTIVIDADES DE CLUBES DEPORTIVOS Y OTRAS ACTIVIDADES DEPORTIVAS,Deporte y ocio,Fitness y deporte,Club deportivo,Club deportivo,True,exact_code,24022,False
931008,ACTIVIDADES DE LOS GIMNASIOS,Deporte y ocio,Fitness y deporte,Gimnasio,Gimnasio,True,exact_code,91750,False
931001,GESTION DE INSTALACIONES DEPORTIVAS,Deporte y ocio,Fitness y deporte,Instalacion deportiva,Instalacion deportiva,True,exact_code,14232,False
932002,CENTROS DE JUEGOS O CELEBRACIONES INFANTILES SIN COCINA,Deporte y ocio,Ocio y entretenimiento,Celebraciones infantiles,Celebraciones infantiles,True,exact_code,13199,False
920001,JUEGOS DE AZAR Y APUESTAS DE GESTION PUBLICA O O AUTORIZACION ESPECIAL (ESTADO Y ONCE),Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,62108,False
920002,"JUEGOS DE AZAR Y APUESTAS DE GESTION PRIVADA (BINGOS, CASINOS, MAQUINAS TRAGAPERRAS)",Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,45317,False
931002,PISCINAS DE USO PUBLICO DE TEMPORADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,16043,False
931003,PISCINAS DE USO PUBLLICO CLIMATIZADAS,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,18923,False
931004,PISCINAS PUBLICAS CLIMATIZADAS/TEMPORADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,311,False
931005,PISCINA PRIVADA DE TEMPORADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,1042,False
931006,PISCINA PRIVADA CLIMATIZADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,997,False
931007,PISCINA PRIVADA CLIMATIZADA/TEMPORADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,98,False
931010,PISCINAS DE COMUNIDADES DE VECINOS DE TEMPORADA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,2663,False
931011,PISCINAS DE COMUNIDADES DE VECINOS CLIMATIZADAS,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,74,False
931012,ESTABLECIMIENTOS DE EQUITACION,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,238,False
932001,CENTROS DE JUEGOS O CELEBRACIONES INFANTILES CON COCINA,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,5931,False
932004,SALAS DE FIESTA CON RESTAURACION,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,2525,False
932005,SALAS DE FIESTA SIN RESTAURACION,Deporte y ocio,Ocio y entretenimiento,Ocio y entretenimiento,Ocio y entretenimiento,True,prefix_92_93,5896,False
932007,SALONES DE RECREO Y DIVERSION Y OTRAS ACTIVIDADES RECREATIVAS,Deporte y ocio,Ocio y entretenimiento,Salon recreativo,Salon recreativo,True,exact_code,17267,False
851003,CENTROS DE CUIDADO INFANTIL,Educacion,Educacion infantil,Centro de cuidado infantil,Centro de cuidado infantil,True,exact_code,11232,False
851001,ESCUELAS INFANTILES DE PRIMER CICLO,Educacion,Educacion infantil,Escuela infantil,Escuela infantil,True,exact_code,79816,False
851002,ESCUELAS INFANTILES DE SEGUNDO CICLO,Educacion,Educacion infantil,Escuela infantil,Escuela infantil,True,exact_code,25416,False
855001,AUTOESCUELA,Educacion,Formacion,Autoescuela,Autoescuela,True,exact_code,57166,False
851004,CENTROS DE CUIDADO INFANTIL DE ASISTENCIA ESPORADICA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,137,False
851007,CENTROS PUBLICOS DE EDUCACION PRIMARIA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,5271,False
851008,CENTROS PRIVADOS DE EDUCACION PRIMARIA,Educacion,Formacion,Educacion y formacion,Educacion y formacion,True,prefix_85,4576,False
