zone_level,zone_code,zone_name,web_supercategory,web_category,display_label,n_locales,n_events,event_rate,duration_median_months,survival_12m,survival_24m,supported_for_stats,confidence_tier,rank_within_zone_24m
district,10.0,Latina,Retail especializado,Electronica y telecom,Electrodomesticos,12,1,0.08333333333333333,135.0,1.0,1.0,False,low,50
district,10.0,Latina,Hosteleria,Restauracion,Comida rapida,11,1,0.09090909090909091,135.0,1.0,1.0,False,low,51
district,10.0,Latina,Retail especializado,Electronica y telecom,Electronica y telecom,11,2,0.18181818181818182,135.0,1.0,1.0,False,low,52
district,10.0,Latina,Servicios,Servicios profesionales,Publicidad y marketing,11,2,0.18181818181818182,135.0,1.0,1.0,False,low,53
district,10.0,Latina,Deporte y ocio,Fitness y deporte,Club deportivo,10,0,0.0,135.0,1.0,1.0,False,low,54
district,10.0,Latina,Automocion,Venta y recambios,Recambios automovil,10,0,0.0,135.0,1.0,1.0,False,low,55
district,10.0,Latina,Retail especializado,Cultura y ocio,Libreria,9,1,0.1111111111111111,135.0,1.0,1.0,False,low,56
district,10.0,Latina,Servicios,Servicios profesionales,Fotografia,8,1,0.125,135.0,1.0,1.0,False,low,57
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bar especial con actuaciones,7,0,0.0,135.0,1.0,1.0,False,low,58
district,10.0,Latina,Hosteleria,Bar y cafeteria,Churreria,7,1,0.14285714285714285,135.0,1.0,1.0,False,low,59
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Lacteos y bebidas,7,0,0.0,135.0,1.0,1.0,False,low,60
district,10.0,Latina,Automocion,Venta y recambios,Motos y reparacion,7,0,0.0,135.0,1.0,1.0,False,low,61
district,10.0,Latina,Alimentacion,Panaderia y pasteleria,Pasteleria y reposteria,7,1,0.14285714285714285,135.0,1.0,1.0,False,low,62
district,10.0,Latina,Servicios,Servicios profesionales,Tecnologia y software,7,0,0.0,135.0,1.0,1.0,False,low,63
district,10.0,Latina,Servicios,Servicios profesionales,Despacho juridico,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,64
district,10.0,Latina,Hosteleria,Ocio nocturno,Discoteca,6,3,0.5,100.0,1.0,1.0,False,low,65
district,10.0,Latina,Alimentacion,Supermercado y conveniencia,Gran superficie alimentacion,6,1,0.16666666666666666,135.0,1.0,1.0,False,low,66
district,10.0,Latina,Retail especializado,Cultura y ocio,Jugueteria,6,2,0.3333333333333333,135.0,1.0,1.0,False,low,67
district,10.0,Latina,Retail especializado,Cultura y ocio,Bicicletas,5,2,0.4,135.0,1.0,1.0,False,low,68
district,10.0,Latina,Retail especializado,Hogar y reformas,Bricolaje,5,2,0.4,135.0,1.0,1.0,False,low,69
district,10.0,Latina,Deporte y ocio,Ocio y entretenimiento,Celebraciones infantiles,5,1,0.2,135.0,1.0,1.0,False,low,70
district,10.0,Latina,Hosteleria,Catering y colectividades,Comedor colectivo,5,1,0.2,53.0,1.0,1.0,False,low,71
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Cafe e infusiones,4,0,0.0,135.0,1.0,1.0,False,low,72
district,10.0,Latina,Finanzas,Finanzas y seguros,Cambio y envio de moneda,4,0,0.0,135.0,1.0,1.0,False,low,73
district,10.0,Latina,Automocion,Servicios automocion,Gasolinera,4,0,0.0,135.0,1.0,1.0,False,low,74
district,10.0,Latina,Retail especializado,Hogar y decoracion,Iluminacion,4,0,0.0,135.0,1.0,1.0,False,low,75
district,10.0,Latina,Belleza y cuidado personal,Peluqueria y estetica,Instituto de belleza,4,0,0.0,135.0,1.0,1.0,False,low,76
district,10.0,Latina,Finanzas,Finanzas y seguros,Servicios auxiliares seguros,4,2,0.5,108.5,1.0,1.0,False,low,77
district,10.0,Latina,Servicios,Servicios profesionales,Consultoria empresarial,3,0,0.0,135.0,1.0,1.0,False,low,78
district,10.0,Latina,Hosteleria,Catering y colectividades,Eventos y banquetes,3,0,0.0,135.0,1.0,1.0,False,low,79
district,10.0,Latina,Deporte y ocio,Fitness y deporte,Instalacion deportiva,3,0,0.0,135.0,1.0,1.0,False,low,80
district,10.0,Latina,Retail especializado,Hogar y decoracion,Menaje del hogar,3,0,0.0,135.0,1.0,1.0,False,low,81
district,10.0,Latina,Belleza y cuidado personal,Servicios personales,Tattoo y piercing,3,0,0.0,135.0,1.0,1.0,False,low,82
district,10.0,Latina,Servicios,Servicios profesionales,Telecomunicaciones,3,0,0.0,135.0,1.0,1.0,False,low,83
district,10.0,Latina,Alojamiento,Alojamiento turistico,Alojamiento turistico,2,1,0.5,102.0,1.0,1.0,False,low,84
district,10.0,Latina,Educacion,Educacion infantil,Centro de cuidado infantil,2,0,0.0,135.0,1.0,1.0,False,low,85
district,10.0,Latina,Hosteleria,Bar y cafeteria,Taberna,2,1,0.5,93.5,1.0,1.0,False,low,86
district,10.0,Latina,Automocion,Venta y recambios,Venta de coches usados,2,1,0.5,132.5,1.0,1.0,False,low,87
district,10.0,Latina,Hosteleria,Bar y cafeteria,Bodega con consumo,1,0,0.0,135.0,1.0,1.0,False,low,88
district,10.0,Latina,Finanzas,Finanzas y seguros,Finanzas y seguros,1,0,0.0,135.0,1.0,1.0,False,low,89
district,10.0,Latina,Alimentacion,Especialistas alimentacion,Golosinas,1,1,1.0,78.0,1.0,1.0,False,low,90
district,10.0,Latina,Hosteleria,Bar y cafeteria,Heladeria y salon de te,1,0,0.0,135.0,1.0,1.0,False,low,91
district,10.0,Latina,Alojamiento,Alojamiento turistico,Hostal,1,0,0.0,135.0,1.0,1.0,False,low,92
district,10.0,Latina,Retail especializado,Mascotas,Mascotas,1,0,0.0,109.0,1.0,1.0,False,low,93
district,10.0,Latina,Salud y bienestar,Clinicas y consultas,Optometria,1,0,0.0,135.0,1.0,1.0,False,low,94
district,10.0,Latina,Retail especializado,Moda y complementos,Moda,159,27,0.16981132075471697,135.0,1.0,0.9937106918238994,True,high,95
district,10.0,Latina,Hosteleria,Bar y cafeteria,Cafeteria,86,5,0.05813953488372093,135.0,1.0,0.9883720930232558,False,low,96
